STEP,POPULATION,HEALTHY,VACCINATED HEALTHY,UNVACCINATED HEALTHY,INFECTED,VACCINATED INFECTED,UNVACCINATED INFECTED,DEATHS FROM INFECTION,DEATHS VACCINATED,DEATHS UNVACCINATED
463,12664,8164,7493,671,4500,39,4461,2467,34,2433
464,12661,8151,7494,657,4510,38,4472,2470,34,2436
465,12660,8158,7492,666,4502,40,4462,2471,34,2437
466,12656,8145,7490,655,4511,42,4469,2475,34,2441
467,12651,8164,7492,672,4487,39,4448,2480,35,2445
468,12650,8165,7492,673,4485,39,4446,2481,35,2446
469,12648,8175,7493,682,4473,38,4435,2483,35,2448
470,12642,8194,7495,699,4448,36,4412,2489,35,2454
471,12634,8192,7496,696,4442,35,4407,2497,35,2462
472,12631,8179,7493,686,4452,38,4414,2500,35,2465
473,12628,8197,7496,701,4431,35,4396,2503,35,2468
474,12624,8180,7495,685,4444,36,4408,2507,35,2472
475,12622,8148,7492,656,4474,39,4435,2509,35,2474
476,12619,8178,7494,684,4441,37,4404,2512,35,2477
477,12615,8168,7492,676,4447,39,4408,2516,35,2481
478,12610,8157,7491,666,4453,40,4413,2521,35,2486
479,12608,8138,7492,646,4470,39,4431,2523,35,2488
480,12605,8150,7490,660,4455,41,4414,2526,35,2491
481,12603,8158,7488,670,4445,43,4402,2528,35,2493
482,12601,8159,7487,672,4442,44,4398,2530,35,2495
483,12597,8163,7484,679,4434,47,4387,2534,35,2499
484,12596,8127,7485,642,4469,46,4423,2535,35,2500
485,12590,8131,7485,646,4459,46,4413,2541,35,2506
486,12585,8117,7487,630,4468,43,4425,2546,36,2510
487,12579,8112,7485,627,4467,45,4422,2552,36,2516
488,12575,8121,7486,635,4454,44,4410,2556,36,2520
489,12574,8127,7486,641,4447,44,4403,2557,36,2521
490,12571,8150,7488,662,4421,42,4379,2560,36,2524
491,12569,8163,7488,675,4406,42,4364,2562,36,2526
492,12565,8156,7490,666,4409,40,4369,2566,36,2530
493,12561,8138,7490,648,4423,39,4384,2570,37,2533
494,12555,8138,7491,647,4417,38,4379,2576,37,2539
495,12552,8134,7490,644,4418,39,4379,2579,37,2542
496,12547,8124,7490,634,4423,39,4384,2584,37,2547
497,12543,8146,7489,657,4397,40,4357,2588,37,2551
498,12533,8162,7490,672,4371,39,4332,2598,37,2561
499,12532,8167,7492,675,4365,37,4328,2599,37,2562
500,12528,8137,7491,646,4391,38,4353,2603,37,2566
