STEP,POPULATION,HEALTHY,VACCINATED HEALTHY,UNVACCINATED HEALTHY,INFECTED,VACCINATED INFECTED,UNVACCINATED INFECTED,DEATHS FROM INFECTION,DEATHS VACCINATED,DEATHS UNVACCINATED
112,14547,8759,7521,1238,5788,40,5748,584,5,579
113,14535,8725,7522,1203,5810,38,5772,596,6,590
114,14532,8737,7518,1219,5795,42,5753,599,6,593
115,14521,8677,7518,1159,5844,42,5802,610,6,604
116,14513,8684,7515,1169,5829,45,5784,618,6,612
117,14506,8653,7514,1139,5853,46,5807,625,6,619
118,14495,8647,7516,1131,5848,44,5804,636,6,630
119,14486,8630,7515,1115,5856,45,5811,645,6,639
120,14476,8608,7513,1095,5868,47,5821,655,6,649
121,14463,8568,7513,1055,5895,47,5848,668,6,662
122,14453,8559,7513,1046,5894,47,5847,678,6,672
123,14446,8551,7508,1043,5895,52,5843,685,6,679
124,14439,8577,7509,1068,5862,51,5811,692,6,686
125,14435,8571,7509,1062,5864,51,5813,696,6,690
126,14426,8557,7511,1046,5869,49,5820,705,6,699
127,14413,8537,7509,1028,5876,51,5825,718,6,712
128,14410,8555,7508,1047,5855,52,5803,721,6,715
129,14405,8534,7508,1026,5871,52,5819,726,6,720
130,14400,8521,7509,1012,5879,51,5828,731,6,725
131,14391,8515,7507,1008,5876,53,5823,740,6,734
132,14382,8536,7510,1026,5846,50,5796,749,6,743
133,14370,8509,7510,999,5861,49,5812,761,7,754
134,14365,8482,7510,972,5883,49,5834,766,7,759
135,14363,8458,7510,948,5905,49,5856,768,7,761
136,14352,8466,7509,957,5886,50,5836,779,7,772
137,14345,8460,7510,950,5885,49,5836,786,7,779
138,14332,8448,7508,940,5884,51,5833,799,7,792
139,14325,8422,7505,917,5903,54,5849,806,7,799
140,14317,8433,7506,927,5884,53,5831,814,7,807
141,14305,8451,7506,945,5854,52,5802,826,8,818
142,14299,8437,7507,930,5862,51,5811,832,8,824
143,14294,8397,7508,889,5897,50,5847,837,8,829
144,14291,8420,7509,911,5871,49,5822,840,8,832
145,14283,8403,7508,895,5880,50,5830,848,8,840
146,14277,8394,7512,882,5883,46,5837,854,8,846
147,14270,8386,7516,870,5884,42,5842,861,8,853
148,14264,8411,7516,895,5853,42,5811,867,8,859
149,14257,8410,7516,894,5847,41,5806,874,9,865
150,14250,8408,7518,890,5842,39,5803,881,9,872
151,14245,8402,7518,884,5843,39,5804,886,9,877
152,14240,8400,7516,884,5840,41,5799,891,9,882
153,14234,8414,7520,894,5820,37,5783,897,9,888
154,14224,8420,7518,902,5804,39,5765,907,9,898
155,14219,8400,7516,884,5819,41,5778,912,9,903
156,14210,8369,7514,855,5841,43,5798,921,9,912
157,14202,8370,7515,855,5832,42,5790,929,9,920
158,14192,8376,7518,858,5816,39,5777,939,9,930
159,14183,8355,7516,839,5828,41,5787,948,9,939
160,14177,8374,7515,859,5803,42,5761,954,9,945
161,14168,8345,7515,830,5823,42,5781,963,9,954
162,14162,8351,7516,835,5811,41,5770,969,9,960
163,14148,8350,7516,834,5798,41,5757,983,9,974
