STEP,POPULATION,HEALTHY,SOCIAL D HEALTHY,NOT SOCIAL D HEALTHY,INFECTED,SOCIAL D INFECTED,NOT SOCIAL D INFECTED,DEATHS FROM INFECTION,DEATHS SOCIAL D,DEATHS NOT SOCIAL D
112,14540,8867,7548,1319,5673,26,5647,493,4,489
113,14529,8836,7547,1289,5693,27,5666,504,4,500
114,14518,8807,7547,1260,5711,27,5684,515,4,511
115,14511,8784,7547,1237,5727,27,5700,522,4,518
116,14502,8790,7547,1243,5712,27,5685,531,4,527
117,14494,8732,7548,1184,5762,26,5736,539,4,535
118,14490,8680,7547,1133,5810,27,5783,543,4,539
119,14485,8634,7547,1087,5851,27,5824,548,4,544
120,14480,8593,7546,1047,5887,28,5859,553,4,549
121,14473,8579,7544,1035,5894,30,5864,560,4,556
122,14466,8556,7545,1011,5910,28,5882,567,5,562
123,14460,8553,7544,1009,5907,29,5878,573,5,568
124,14451,8526,7544,982,5925,29,5896,582,5,577
125,14442,8505,7545,960,5937,28,5909,591,5,586
126,14433,8490,7547,943,5943,26,5917,600,5,595
127,14425,8477,7548,929,5948,25,5923,608,5,603
128,14416,8453,7550,903,5963,23,5940,617,5,612
129,14411,8466,7548,918,5945,25,5920,622,5,617
130,14406,8454,7546,908,5952,27,5925,627,5,622
131,14398,8458,7547,911,5940,26,5914,635,5,630
132,14390,8441,7545,896,5949,28,5921,643,5,638
133,14386,8429,7546,883,5957,27,5930,647,5,642
134,14380,8398,7545,853,5982,28,5954,653,5,648
135,14371,8390,7545,845,5981,28,5953,662,5,657
136,14362,8367,7543,824,5995,30,5965,671,5,666
137,14355,8371,7543,828,5984,30,5954,678,5,673
138,14347,8368,7541,827,5979,32,5947,686,5,681
139,14339,8358,7540,818,5981,33,5948,694,5,689
140,14327,8352,7541,811,5975,32,5943,706,5,701
141,14316,8349,7537,812,5967,36,5931,717,5,712
142,14310,8338,7535,803,5972,38,5934,723,5,718
143,14304,8329,7533,796,5975,40,5935,729,5,724
144,14299,8295,7535,760,6004,38,5966,734,5,729
145,14285,8308,7534,774,5977,38,5939,748,6,742
146,14281,8293,7530,763,5988,42,5946,752,6,746
